"CIU_NAC","LON_CIU_NAC","LAT_CIU_NAC","n"
"Arauca","-70762773048","707773650197",233
"Armenia","-756762454094","453805331619",270
"Barranquilla","-748187880943","109796493947",464
"Bucaramanga","-73132325231","712278728534",718
"Cali","-765263911952","340638218413",1204
"Cartagena de indias","-75.501229215999999","10.398816484399999",37
"Cartagena de indias","-755115044653","10182784623",318
"Cucuta","-725055909659","790526711655",465
"Florencia","-756079932658","161582907928",145
"Ibague","-751963501468","44396307255",644
"Inirida","-67918283684","387032554774",12
"Leticia","-699406798289","-421202316969",81
"Manizales","-754904150625","505705056379",3722
"Medellin","-755770556256","624894080956",7214
"Mitu","-70.234960261799998","1.2511707885400001",8
"Mocoa","-766519175009","114428450756",65
"Monteria","-761250820708","84570969832",355
"Neiva","-752779458694","293554559251",423
"Pasto","-771955147333","10557848325",1131
"Pereira","-757155099202","480888773215",351
"Popayan","-76640426845","243835548047",255
"Quibdo","-766511246326","569234946505",202
"Riohacha","-729122712549","115291254274",56
"San andres","-816960414806","125829884179",160
"San jose del guaviare","-726400959977","257047809895",30
"Santa marta","-741883970496","112257031416",85
"Sincelejo","-75385219416","930015762595",193
"Tunja","-733543638186","553937063584",715
"Valledupar","-732586483431","104615184337",296
"Villavicencio","-73626877897","412295758045",595
"Yopal","-723937905332","533249117563",114
