"EDAD_MOD","SEDE_NOMBRE_MAT","CAT_EDAD","Especialización","Maestría","Pregrado","Doctorado","Especialidades Médicas"
"18","Bogotá","23 años o menos",2,1,0,0,0
"18","Medellín","23 años o menos",1,0,0,0,0
"19","Bogotá","23 años o menos",0,0,7,0,0
"19","Manizales","23 años o menos",0,0,1,0,0
"19","Medellín","23 años o menos",0,0,3,0,0
"20","Bogotá","23 años o menos",1,0,125,0,0
"20","Manizales","23 años o menos",1,0,32,0,0
"20","Medellín","23 años o menos",0,2,35,0,0
"20","Palmira","23 años o menos",0,0,3,0,0
"21","Bogotá","23 años o menos",13,3,1191,0,0
"21","Manizales","23 años o menos",24,0,358,0,0
"21","Medellín","23 años o menos",2,0,355,0,0
"21","Palmira","23 años o menos",0,0,48,0,0
"22","Bogotá","23 años o menos",106,9,5110,0,0
"22","Manizales","23 años o menos",141,0,1599,0,0
"22","Medellín","23 años o menos",41,2,2016,0,0
"22","Palmira","23 años o menos",0,1,313,0,0
"23","Amazonía","23 años o menos",1,0,0,0,0
"23","Bogotá","23 años o menos",349,44,8263,0,0
"23","Manizales","23 años o menos",320,13,1718,0,0
"23","Medellín","23 años o menos",155,18,3512,0,0
"23","Palmira","23 años o menos",0,2,687,0,0
"24","Bogotá","24 a 25 años",660,234,7030,1,4
"24","Manizales","24 a 25 años",270,53,1155,0,0
"24","Medellín","24 a 25 años",354,69,2656,0,0
"24","Amazonía","24 a 25 años",0,1,0,0,0
"24","Caribe","24 a 25 años",0,1,0,0,0
"24","Palmira","24 a 25 años",0,5,727,0,0
"25","Medellín","24 a 25 años",356,197,1648,1,0
"25","Bogotá","24 a 25 años",848,489,4623,0,20
"25","Manizales","24 a 25 años",260,111,769,0,0
"25","Palmira","24 a 25 años",1,20,478,0,0
"25","Amazonía","24 a 25 años",0,3,0,0,0
"26","Manizales","26 a 30 años",217,95,562,1,0
"26","Bogotá","26 a 30 años",898,842,3117,0,78
"26","Medellín","26 a 30 años",337,309,1130,0,0
"26","Palmira","26 a 30 años",2,30,338,0,0
"26","Amazonía","26 a 30 años",0,2,0,0,0
"26","Caribe","26 a 30 años",0,3,0,0,0
"27","Bogotá","26 a 30 años",845,985,2219,7,152
"27","Manizales","26 a 30 años",214,80,343,4,0
"27","Amazonía","26 a 30 años",2,2,0,0,0
"27","Medellín","26 a 30 años",303,375,679,0,0
"27","Palmira","26 a 30 años",4,49,279,0,0
"27","Caribe","26 a 30 años",0,2,0,0,0
"28","Bogotá","26 a 30 años",756,980,1585,14,188
"28","Manizales","26 a 30 años",173,83,254,3,0
"28","Medellín","26 a 30 años",260,313,486,8,0
"28","Palmira","26 a 30 años",2,59,176,1,0
"28","Amazonía","26 a 30 años",0,6,0,0,0
"28","Caribe","26 a 30 años",0,3,0,0,0
"29","Bogotá","26 a 30 años",654,959,1086,27,242
"29","Manizales","26 a 30 años",150,75,169,10,0
"29","Medellín","26 a 30 años",244,308,329,16,0
"29","Palmira","26 a 30 años",1,46,121,3,0
"29","Amazonía","26 a 30 años",3,7,0,0,0
"29","Caribe","26 a 30 años",0,2,0,0,0
"30","Bogotá","26 a 30 años",559,905,826,49,189
"30","Manizales","26 a 30 años",160,64,136,9,0
"30","Medellín","26 a 30 años",203,270,260,17,0
"30","Palmira","26 a 30 años",3,58,68,2,0
"30","Amazonía","26 a 30 años",1,4,0,0,0
"30","Caribe","26 a 30 años",0,5,0,0,0
"31","Bogotá","31 a 35 años",535,796,612,41,173
"31","Manizales","31 a 35 años",117,60,105,9,0
"31","Medellín","31 a 35 años",168,233,201,23,0
"31","Palmira","31 a 35 años",2,40,66,4,0
"31","Amazonía","31 a 35 años",2,5,0,0,0
"31","Caribe","31 a 35 años",0,4,0,0,0
"32","Bogotá","31 a 35 años",411,719,441,52,134
"32","Manizales","31 a 35 años",90,55,72,7,0
"32","Medellín","31 a 35 años",136,203,122,27,0
"32","Palmira","31 a 35 años",0,51,40,6,0
"32","Amazonía","31 a 35 años",2,4,0,0,0
"32","Caribe","31 a 35 años",0,7,0,0,0
"33","Bogotá","31 a 35 años",335,631,307,60,97
"33","Manizales","31 a 35 años",99,41,44,8,0
"33","Medellín","31 a 35 años",122,167,90,27,0
"33","Palmira","31 a 35 años",0,32,26,7,0
"33","Caribe","31 a 35 años",0,1,0,0,0
"34","Bogotá","31 a 35 años",329,524,263,50,93
"34","Manizales","31 a 35 años",85,57,41,8,0
"34","Medellín","31 a 35 años",108,167,78,27,0
"34","Palmira","31 a 35 años",2,34,21,4,0
"34","Amazonía","31 a 35 años",0,3,0,0,0
"34","Caribe","31 a 35 años",0,4,0,0,0
"35","Amazonía","31 a 35 años",1,1,0,1,0
"35","Bogotá","31 a 35 años",283,419,198,59,55
"35","Manizales","31 a 35 años",77,42,33,7,0
"35","Medellín","31 a 35 años",83,131,49,28,0
"35","Palmira","31 a 35 años",1,32,10,7,0
"35","Caribe","31 a 35 años",0,1,0,0,0
"36","Bogotá","36 años o mas",238,360,153,59,41
"36","Manizales","36 años o mas",73,37,27,8,0
"36","Medellín","36 años o mas",60,121,41,24,0
"36","Palmira","36 años o mas",1,31,8,2,0
"36","Amazonía","36 años o mas",0,5,0,0,0
"36","Caribe","36 años o mas",0,2,0,0,0
"37","Bogotá","36 años o mas",233,329,102,48,29
"37","Manizales","36 años o mas",58,37,12,5,0
"37","Medellín","36 años o mas",63,105,38,21,0
"37","Palmira","36 años o mas",2,31,11,3,0
"37","Amazonía","36 años o mas",0,2,0,0,0
"37","Caribe","36 años o mas",0,2,0,0,0
"38","Amazonía","36 años o mas",2,3,0,1,0
"38","Bogotá","36 años o mas",196,260,78,43,29
"38","Caribe","36 años o mas",0,1,0,1,0
"38","Manizales","36 años o mas",45,27,14,2,0
"38","Medellín","36 años o mas",52,94,25,18,0
"38","Palmira","36 años o mas",0,40,5,7,0
"39","Bogotá","36 años o mas",150,254,102,42,17
"39","Manizales","36 años o mas",43,31,17,1,0
"39","Medellín","36 años o mas",47,87,23,21,0
"39","Palmira","36 años o mas",1,21,3,4,0
"39","Amazonía","36 años o mas",2,2,0,0,0
"39","Caribe","36 años o mas",0,1,0,0,0
"40","Bogotá","36 años o mas",142,243,102,31,11
"40","Manizales","36 años o mas",32,26,11,3,0
"40","Medellín","36 años o mas",36,64,11,19,0
"40","Palmira","36 años o mas",1,24,4,4,0
"40","Amazonía","36 años o mas",1,3,0,0,0
"40","Caribe","36 años o mas",0,2,0,0,0
"41","Bogotá","36 años o mas",134,204,47,20,5
"41","Manizales","36 años o mas",32,20,7,4,0
"41","Medellín","36 años o mas",27,61,9,14,0
"41","Palmira","36 años o mas",1,27,5,5,0
"41","Amazonía","36 años o mas",0,2,0,0,0
"41","Caribe","36 años o mas",0,2,0,0,0
"42","Bogotá","36 años o mas",114,148,32,30,15
"42","Manizales","36 años o mas",25,27,5,5,0
"42","Medellín","36 años o mas",28,50,9,16,0
"42","Palmira","36 años o mas",0,21,1,6,0
"42","Amazonía","36 años o mas",1,4,0,0,0
"43","Bogotá","36 años o mas",107,156,48,37,3
"43","Manizales","36 años o mas",32,20,11,1,0
"43","Medellín","36 años o mas",21,61,9,11,0
"43","Palmira","36 años o mas",1,29,3,4,0
"43","Amazonía","36 años o mas",3,1,0,0,0
"43","Caribe","36 años o mas",0,2,0,0,0
"44","Bogotá","36 años o mas",92,129,30,28,6
"44","Medellín","36 años o mas",30,42,1,12,0
"44","Palmira","36 años o mas",0,34,3,5,0
"44","Manizales","36 años o mas",30,20,2,0,0
"44","Amazonía","36 años o mas",0,3,0,0,0
"45","Bogotá","36 años o mas",90,123,12,29,6
"45","Manizales","36 años o mas",16,25,2,3,0
"45","Medellín","36 años o mas",32,51,6,18,0
"45","Palmira","36 años o mas",0,25,1,4,0
"45","Amazonía","36 años o mas",1,1,0,0,0
"46","Bogotá","36 años o mas",101,113,17,28,4
"46","Manizales","36 años o mas",15,14,2,3,0
"46","Medellín","36 años o mas",15,43,4,10,0
"46","Palmira","36 años o mas",3,23,2,1,0
"46","Amazonía","36 años o mas",0,1,0,0,0
"47","Bogotá","36 años o mas",100,96,12,23,4
"47","Caribe","36 años o mas",0,1,0,1,0
"47","Manizales","36 años o mas",18,8,2,3,0
"47","Medellín","36 años o mas",24,44,3,7,0
"47","Palmira","36 años o mas",0,28,3,7,0
"48","Bogotá","36 años o mas",82,97,18,31,1
"48","Caribe","36 años o mas",0,1,0,1,0
"48","Manizales","36 años o mas",11,16,0,7,0
"48","Medellín","36 años o mas",14,33,4,15,0
"48","Palmira","36 años o mas",1,20,0,4,0
"49","Bogotá","36 años o mas",70,84,9,23,0
"49","Manizales","36 años o mas",22,9,0,1,0
"49","Medellín","36 años o mas",22,26,0,6,0
"49","Palmira","36 años o mas",0,15,1,4,0
"50","Bogotá","36 años o mas",58,73,6,24,1
"50","Manizales","36 años o mas",15,11,1,1,0
"50","Medellín","36 años o mas",19,32,6,7,0
"50","Palmira","36 años o mas",0,10,0,7,0
"50","Amazonía","36 años o mas",2,1,0,0,0
"51","Bogotá","36 años o mas",41,68,8,21,0
"51","Manizales","36 años o mas",8,11,1,1,0
"51","Medellín","36 años o mas",14,17,2,4,0
"51","Palmira","36 años o mas",0,9,2,2,0
"51","Amazonía","36 años o mas",2,1,0,0,0
"52","Bogotá","36 años o mas",47,53,3,16,0
"52","Manizales","36 años o mas",8,5,2,3,0
"52","Medellín","36 años o mas",4,27,0,6,0
"52","Palmira","36 años o mas",1,8,0,1,0
"53","Bogotá","36 años o mas",45,57,4,10,0
"53","Manizales","36 años o mas",8,4,1,1,0
"53","Medellín","36 años o mas",7,8,2,3,0
"53","Palmira","36 años o mas",1,8,0,3,0
"53","Amazonía","36 años o mas",1,1,0,0,0
"53","Caribe","36 años o mas",0,1,0,0,0
"54","Bogotá","36 años o mas",36,47,3,16,0
"54","Manizales","36 años o mas",4,4,0,1,0
"54","Medellín","36 años o mas",9,18,0,5,0
"54","Palmira","36 años o mas",1,6,0,3,0
"55","Bogotá","36 años o mas",28,34,3,13,0
"55","Medellín","36 años o mas",5,19,1,3,0
"55","Palmira","36 años o mas",0,1,1,1,0
"55","Manizales","36 años o mas",9,4,0,0,0
"55","Amazonía","36 años o mas",0,1,0,0,0
"56","Bogotá","36 años o mas",23,38,5,14,1
"56","Manizales","36 años o mas",2,1,0,2,0
"56","Medellín","36 años o mas",6,14,2,4,0
"56","Palmira","36 años o mas",1,4,0,2,0
"56","Amazonía","36 años o mas",0,1,0,0,0
"56","Caribe","36 años o mas",0,1,0,0,0
"57","Bogotá","36 años o mas",28,41,4,13,0
"57","Medellín","36 años o mas",8,11,0,2,0
"57","Palmira","36 años o mas",0,7,0,3,0
"57","Manizales","36 años o mas",4,0,0,0,0
"58","Bogotá","36 años o mas",14,25,1,9,0
"58","Medellín","36 años o mas",3,6,1,2,0
"58","Palmira","36 años o mas",0,1,1,2,0
"58","Manizales","36 años o mas",3,4,0,0,0
"59","Amazonía","36 años o mas",0,0,0,1,0
"59","Bogotá","36 años o mas",11,25,2,7,0
"59","Manizales","36 años o mas",1,2,0,2,0
"59","Medellín","36 años o mas",6,4,1,0,0
"59","Palmira","36 años o mas",0,3,0,0,0
"60","Bogotá","36 años o mas",13,19,3,7,0
"60","Medellín","36 años o mas",4,8,2,1,0
"60","Palmira","36 años o mas",0,0,0,2,0
"60","Manizales","36 años o mas",1,2,0,0,0
"61","Bogotá","36 años o mas",7,8,0,2,0
"61","Manizales","36 años o mas",2,4,0,0,0
"61","Medellín","36 años o mas",2,2,1,0,0
"61","Palmira","36 años o mas",0,3,0,0,0
"62","Bogotá","36 años o mas",7,8,0,6,0
"62","Manizales","36 años o mas",3,2,0,0,0
"62","Caribe","36 años o mas",0,1,0,0,0
"62","Medellín","36 años o mas",0,3,0,0,0
"62","Palmira","36 años o mas",0,0,1,0,0
"63","Bogotá","36 años o mas",3,8,0,3,0
"63","Palmira","36 años o mas",0,1,0,1,0
"63","Manizales","36 años o mas",2,0,0,0,0
"64","Manizales","36 años o mas",1,1,0,1,0
"64","Medellín","36 años o mas",2,0,0,1,0
"64","Bogotá","36 años o mas",3,7,2,0,0
"64","Palmira","36 años o mas",0,2,0,0,0
"65","Bogotá","36 años o mas",1,3,1,1,0
"65","Manizales","36 años o mas",1,0,0,0,0
"65","Medellín","36 años o mas",1,1,0,0,0
"65","Palmira","36 años o mas",0,1,0,0,0
"66","Bogotá","36 años o mas",1,5,0,1,0
"66","Manizales","36 años o mas",0,0,0,1,0
"66","Medellín","36 años o mas",0,1,0,0,0
"67","Bogotá","36 años o mas",0,2,0,3,0
"67","Amazonía","36 años o mas",0,1,0,0,0
"68","Bogotá","36 años o mas",1,4,0,1,0
"68","Palmira","36 años o mas",0,1,0,2,0
"68","Manizales","36 años o mas",1,0,0,0,0
"69","Bogotá","36 años o mas",2,0,0,2,0
